id,start,end,event_type,event_priority,hyper_count,vul_count,ip1,ip2,ip3,ip4,ip5,ip6,ip_order,ty1,ty2,ty3,ty4,ty5,ty6,ty_order
193,45:05.0,45:05.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
194,45:05.0,45:05.0,detect,0,1,0,10.10.13.23,-1,-1,-1,-1,-1,10.10.13.23-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
195,52:02.0,00:30.0,detect,0,8,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.202,192.168.20.202,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.202192.168.20.202,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
196,52:31.0,07:30.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
197,06:09.0,08:00.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
198,06:37.0,21:30.0,detect,0,6,0,192.168.20.94,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.199,10.10.13.23,192.168.20.9410.10.13.23192.168.20.9410.10.13.23192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
199,06:37.0,06:37.0,detect,0,1,0,10.10.13.23,-1,-1,-1,-1,-1,10.10.13.23-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
200,06:37.0,06:37.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
201,07:01.0,22:00.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
202,10:45.0,22:30.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
203,13:16.0,26:00.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
204,13:16.0,13:16.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
205,13:16.0,13:16.0,detect,0,1,0,10.10.13.23,-1,-1,-1,-1,-1,10.10.13.23-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
206,13:16.0,13:16.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
